date,food,count
12/12/13,chorizo,33
03/07/14,poulet,65
27/04/14,biofuel,1
09/01/13,bread,571
21/08/13,coca,254
22/08/12,starch,5
27/05/14,tea,1244
29/12/11,roquefort,4
18/06/13,dinner,1848
16/01/13,lamb,88
24/05/14,goat,255
14/01/13,pastrami,9
28/03/12,sardine,6
19/02/14,scotch,35
18/12/13,boeuf,4
22/05/14,farina,9
08/09/12,veal,2
08/12/13,kefir,3
07/05/13,buttermilk,7
15/06/12,salmon,92
26/10/12,cream,1161
21/10/11,goat,66
03/06/13,beer,1451
10/04/12,seafood,59
22/08/13,bread,572
24/06/14,meals,141
13/06/12,bacon,901
08/11/12,rice,416
17/10/12,lamb,57
23/10/13,oyster,24
19/03/14,colby,22
10/10/11,catfish,6
11/09/12,sirloin,5
27/02/13,kidney,48
09/11/12,veal,4
30/04/14,flour,32
10/04/14,prawn,11
02/12/12,food,6478
12/12/12,steak,199
22/04/12,spud,12
28/12/11,atta,35
23/02/13,soya,12
23/11/11,scotch,35
17/07/13,edam,3
11/06/14,dinner,1513
03/08/12,ham,484
27/03/14,chese,3
30/04/12,catfish,10
25/09/12,veal,5
21/03/13,carp,16
28/09/12,pastrami,5
05/05/12,edam,1
17/10/12,oyster,33
23/07/14,foods,364
09/02/13,maize,9
16/11/11,fish,471
14/05/14,chocolate,2010
17/03/14,tenderloin,3
14/03/14,tea,1224
06/05/13,oyster,27
04/11/13,chese,2
27/04/14,salt,171
03/09/13,rib,45
17/11/11,whisky,58
16/08/13,chocolate,2044
25/05/12,milk,475
03/11/12,sugar,499
30/11/12,quark,1
12/04/12,oyster,35
16/06/13,fish,883
24/10/11,soja,34
20/10/13,ethanol,3
17/09/13,buttermilk,6
05/04/12,liver,53
10/11/12,dairy,40
23/12/13,cheshire,54
14/08/12,foods,207
21/05/12,boeuf,4
10/04/12,dairy,43
08/02/14,cream,1196
18/07/12,kidney,57
28/11/11,noodles,189
12/05/13,dinner,2607
24/08/13,soya,17
08/03/14,maize,9
15/11/13,bacon,508
21/12/13,salt,253
29/10/13,kine,24
28/01/12,roquefort,2
20/10/11,salami,15
08/09/12,beef,350
21/05/14,edam,1
22/09/13,chocolate,2144
01/07/12,kidney,31
16/08/14,poulet,36
18/01/12,kine,7
01/08/13,lunch,1659
04/03/13,food,5855
20/09/12,salmon,92
25/07/12,volaille,1
21/03/12,coffee,1134
01/11/13,edam,3
11/12/13,kine,18
30/08/12,goat,96
20/02/12,coffee,1085
29/05/14,cheshire,39
15/10/13,provolone,2
11/09/13,meals,155
29/10/12,salmon,80
05/07/13,oyster,40
08/12/12,salami,57
21/04/12,cow,193
02/10/12,pastrami,4
13/11/11,maize,4
13/03/14,food,6256
05/02/13,rib,47
22/09/12,roquefort,1
18/07/14,seafood,120
03/10/12,eggnog,6
05/12/13,dinner,1712
29/08/12,starch,5
08/03/14,farina,14
29/09/12,yogurt,133
11/04/12,rice,402
07/03/12,pork,196
20/12/13,oat,13
01/05/14,pork,186
10/07/12,liver,78
19/08/12,ethanol,7
10/12/13,kine,22
12/05/12,brisket,10
19/11/12,chocolate,2348
03/06/12,pastrami,4
02/04/13,ethanol,3
01/03/12,salami,16
12/10/11,sugar,277
29/05/12,spud,8
10/11/11,steak,96
07/02/12,catfish,8
10/08/13,cola,587
05/08/14,dairy,68
02/05/13,butter,316
30/01/13,chese,2
31/12/13,tater,11
21/04/13,beef,283
19/06/12,boeuf,4
09/08/13,kine,11
22/07/13,ethanol,3
15/09/12,meat,237
07/09/13,atta,71
16/08/12,starch,4
24/11/13,tenderloin,1
12/09/12,swine,30
16/05/14,herring,9
12/07/13,catfish,320
19/03/13,sirloin,4
15/11/12,bacon,393
05/02/13,coca,287
21/04/13,feta,18
16/02/13,goat,122
15/06/13,seafood,103
01/10/12,rib,46
14/08/12,carp,10
02/02/12,salami,16
16/01/12,corn,138
16/06/13,colby,17
07/09/12,soya,21
14/03/12,meal,493
18/11/11,buttermilk,3
16/05/13,dinner,571
15/06/13,provolone,20
04/07/12,prawn,18
14/08/13,parmesan,6
03/03/13,swine,23
28/11/13,cookie,423
06/12/12,kidney,47
17/09/12,barley,56
25/07/12,goat,88
09/10/13,wheat,54
01/01/13,farina,5
24/01/12,wheat,68
05/09/12,food,4987
12/03/14,oxen,2
22/02/13,oat,17
13/07/13,scotch,24
16/05/12,nestle,30
12/10/13,kidney,35
05/07/12,atta,28
23/09/14,soja,46
19/07/13,tenderloin,2
30/12/11,chocolate,1520
21/12/13,bacon,514
17/04/14,rice,436
07/07/12,breakfast,1608
21/07/13,roquefort,2
08/06/12,dairy,70
11/05/14,nestle,15
28/08/13,edam,3
18/02/12,veal,5
31/07/12,noodles,265
10/03/12,catfish,16
08/01/13,poultry,10
13/08/12,seafood,118
09/02/14,chocolate,2901
13/04/12,mozzarella,17
28/08/12,sugarcane,3
12/07/13,swine,8
22/12/13,noodles,135
07/09/13,goat,136
11/11/11,dairy,30
08/10/12,feta,16
12/06/14,meal,845
20/09/12,tea,1364
12/02/12,swine,20
11/08/13,roquefort,6
03/06/14,syrup,51
24/07/14,colby,20
10/11/11,salt,97
26/04/12,steak,199
25/05/13,dairy,62
31/05/14,sugarcane,2
20/10/11,lunch,1532
12/06/12,starch,9
12/09/12,cheshire,40
31/08/12,pork,211
01/06/12,goat,95
26/10/12,starch,6
11/05/13,whisky,122
20/11/12,coffee,1571
30/06/14,gatorade,80
24/08/13,provolone,2
25/09/14,salmon,99
05/11/13,tea,1326
29/06/14,beef,423
10/08/12,edam,4
18/05/12,quark,2
25/08/14,buttermilk,3
25/02/14,wheat,60
23/07/13,oyster,27
13/02/13,provolone,1
20/11/13,scotch,29
08/02/14,fish,799
16/09/14,veal,1
04/02/12,barley,32
16/03/14,pig,266
26/10/12,salmon,74
21/09/14,rice,646
07/07/13,ricotta,2
31/12/13,prawn,14
07/09/14,rib,56
27/04/14,pasta,340
15/05/14,catfish,1201
23/03/13,dairy,80
20/02/12,pastrami,6
15/03/12,bran,43
08/04/12,yogurt,78
01/06/13,sugar,435
02/02/13,nestle,12
07/05/13,cow,252
05/03/12,food,3724
15/03/14,syrup,69
13/05/14,meals,123
12/08/14,chorizo,27
10/01/12,salt,189
08/02/14,pasta,285
21/07/13,kefir,1
04/03/14,butter,336
10/10/11,veal,1
13/08/14,soybeans,2
06/07/12,spud,14
21/02/14,butter,435
19/11/13,pasta,336
01/08/13,ravioli,18
30/09/11,quark,2
21/10/11,prawn,9
01/06/14,kidney,49
20/11/12,potato,318
28/06/13,veal,3
01/09/12,salmon,89
26/09/12,atta,46
18/04/12,roquefort,1
05/10/12,goat,102
14/03/12,edam,2
30/07/14,tater,14
18/02/14,dairy,58
29/08/13,mozzarella,33
21/09/14,beef,442
18/02/12,salt,170
25/03/12,flour,418
07/10/12,cola,3537
06/08/13,soybeans,1
07/07/12,salmon,89
29/12/11,barley,34
16/01/13,oxen,2
13/11/12,fish,934
17/06/13,coca,308
04/08/14,dairy,56
26/01/12,sugarcane,1
18/09/13,meal,420
30/11/13,barley,56
22/11/12,soya,19
26/12/12,meat,297
23/09/12,cow,226
26/01/13,roquefort,2
02/07/14,ham,416
14/04/14,ravioli,12
06/09/13,ham,409
01/06/13,dairy,98
02/09/12,chicken,1288
23/11/11,herring,6
05/12/12,dairy,47
11/10/11,flour,21
26/12/13,nestle,22
26/08/12,coffee,1163
27/03/12,chorizo,27
10/08/14,herring,17
12/09/14,roquefort,3
09/09/12,roquefort,3
20/01/13,provolone,3
12/11/13,romano,29
29/04/14,ricotta,7
02/12/13,bread,706
29/03/12,herring,8
04/05/12,bran,30
08/06/12,pimento,1
27/05/12,pork,233
26/06/12,gatorade,107
06/05/12,soya,9
01/12/12,poultry,10
02/04/12,seafood,75
24/01/13,potatos,1
07/06/14,veal,3
06/11/12,coca,255
23/08/14,dairy,51
22/11/11,tater,12
30/10/11,whisky,68
13/09/14,sheep,130
07/10/13,beef,474
30/09/13,butter,301
04/04/12,dinner,1878
01/11/13,milk,453
14/06/12,soja,38
07/03/14,coca,233
24/08/13,catfish,141
10/10/11,corn,97
07/09/14,atta,67
28/08/14,whisky,99
30/03/14,pasta,290
23/11/11,meat,248
07/08/14,romano,50
15/08/13,cola,614
20/04/12,steak,199
18/04/12,goat,81
09/02/12,liver,54
12/09/13,wheat,49
16/11/11,dairy,43
17/02/14,carp,12
07/03/12,bread,462
19/12/12,oat,9
02/07/14,dairy,57
12/05/12,kine,3
23/03/14,sardine,4
16/09/13,catfish,294
16/12/12,soya,16
14/09/14,sugar,562
06/02/14,beef,592
19/10/11,kidney,28
29/09/13,potato,199
12/05/14,breakfast,981
31/03/13,buttermilk,7
25/10/13,cream,962
01/04/13,pig,144
08/03/14,butter,288
04/06/13,oyster,21
12/03/13,ravioli,18
19/07/13,meal,542
21/04/13,sirloin,3
06/05/14,noodles,63
21/05/13,romano,46
12/07/12,spud,12
10/10/13,brisket,8
11/06/13,quark,2
10/06/12,pork,214
09/10/13,pig,246
02/06/12,flour,18
08/07/13,wheat,62
09/02/14,syrup,80
10/12/12,meals,115
22/03/14,sheep,760
16/10/12,eggnog,3
05/08/14,whisky,108
02/07/12,atta,44
30/12/11,starch,7
07/07/14,pork,137
13/08/14,seafood,81
06/05/13,gluten,44
16/06/14,farina,9
24/08/14,bread,678
02/05/14,sugarcane,2
27/11/12,volaille,1
28/12/13,milk,460
16/02/12,soybeans,1
07/05/12,cola,550
24/11/11,whisky,66
16/08/13,gatorade,102
10/06/12,chocolate,1778
02/08/12,prawn,16
20/10/13,cheddar,41
24/02/12,colby,28
31/10/12,salmon,78
08/08/13,liver,91
14/02/14,buttermilk,4
16/02/12,salmon,67
13/12/12,sirloin,2
18/04/12,mozzarella,21
09/05/14,cream,1268
22/01/13,salmon,42
06/10/12,rib,43
18/03/12,fish,779
18/09/12,ravioli,12
20/06/13,rice,373
02/06/13,meat,286
25/09/13,romano,41
02/08/12,egg,406
27/12/12,cheshire,5
01/11/13,feta,23
27/07/12,boeuf,6
20/08/14,steak,190
18/10/13,gatorade,75
11/04/12,catfish,16
25/05/12,lunch,1947
24/08/13,food,6898
11/05/14,soja,26
31/07/12,beer,1298
03/07/12,breakfast,1327
30/07/13,flour,27
15/11/11,wheat,59
13/12/12,gatorade,83
26/11/13,swine,30
20/10/13,cheshire,53
12/09/12,potato,251
12/03/13,buttermilk,8
06/08/12,syrup,100
14/02/13,scotch,46
23/09/12,poulet,31
16/07/12,mozzarella,16
09/09/13,prawn,12
03/03/14,salt,321
27/10/13,soya,15
30/09/13,coffee,1807
18/09/14,veal,5
03/03/12,sirloin,2
27/05/13,gatorade,94
25/04/14,scotch,23
01/08/13,seafood,108
25/06/13,lamb,68
07/02/12,ham,438
15/01/13,chese,1
12/09/14,cookie,330
29/09/12,romano,25
04/03/14,cookie,553
10/06/13,eggnog,1
16/09/14,coffee,1824
23/03/12,spud,18
27/10/12,brisket,11
25/05/13,cola,613
18/06/12,feta,18
24/12/12,oat,14
15/07/12,salmon,105
04/07/13,wheat,65
05/06/12,egg,357
26/10/12,cola,644
25/12/13,meals,99
05/03/13,sardine,4
06/07/14,beer,1177
20/04/13,meat,68
14/11/11,provolone,2
15/05/13,beef,452
28/05/13,gatorade,118
25/09/12,food,5101
11/12/13,rice,346
26/10/12,sugarcane,5
20/10/13,syrup,80
07/10/13,soja,58
21/02/14,rib,39
18/11/12,nestle,18
08/09/13,soya,14
06/04/14,prawn,16
19/02/13,ravioli,66
02/11/13,pork,171
19/10/12,ham,453
12/10/13,lunch,1097
05/09/14,milk,453
07/09/13,breakfast,1711
23/02/13,boeuf,13
20/11/11,veal,2
18/11/11,flour,21
23/11/11,feta,11
28/08/12,oat,7
30/08/12,foods,266
01/11/11,chocolate,437
11/09/13,meat,313
31/01/13,ethanol,13
01/06/14,breakfast,1291
24/09/13,sugarcane,2
27/05/14,oat,18
21/04/14,dairy,54
23/05/13,foods,234
21/08/13,meals,146
16/10/11,starch,1
01/10/14,carp,10
17/06/14,soya,13
20/07/14,foods,277
17/04/14,pork,149
25/05/12,parmesan,8
17/06/12,meals,104
13/09/14,sugar,650
21/12/12,roquefort,2
21/04/13,flour,18
01/09/13,eggnog,2
20/04/14,salmon,127
08/01/12,bread,475
01/10/13,tenderloin,2
12/10/11,scotch,26
20/09/14,starch,3
14/11/13,barley,35
30/08/13,beef,366
04/09/12,sheep,152
06/01/12,sirloin,1
16/10/12,pig,263
01/09/14,prawn,8
30/09/13,cookie,379
23/08/12,buttermilk,3
05/02/14,steak,4
12/07/13,flour,33
20/03/12,parmesan,1
19/03/12,sheep,120
05/12/13,lunch,1573
09/07/14,ricotta,2
22/08/14,colby,11
03/10/12,meal,434
13/11/13,sirloin,6
23/06/14,roquefort,2
30/09/14,romano,42
23/10/12,parmesan,9
20/08/13,eggnog,10
25/11/11,kefir,2
18/07/13,kine,11
04/03/12,tea,1030
18/07/13,chicken,1400
11/04/13,rice,315
04/01/13,pig,323
10/02/14,starch,3
10/05/13,colby,9
07/01/13,swine,30
02/06/13,foods,202
08/04/14,food,6037
07/05/14,catfish,370
20/10/11,herring,6
26/06/14,bacon,585
11/05/13,breakfast,1826
05/04/14,roquefort,2
30/04/12,beef,388
19/07/14,sardine,8
15/12/13,pork,169
30/12/11,seafood,87
06/01/12,chocolate,1438
06/02/12,beef,341
05/05/12,syrup,63
17/10/13,starch,5
14/08/14,salmon,95
15/04/13,sardine,4
18/08/12,feta,13
22/08/14,food,4907
03/01/12,fish,609
27/05/14,yogurt,155
24/06/12,coca,240
24/02/12,meal,426
12/05/13,feta,20
17/04/14,scotch,40
04/12/13,lunch,1692
06/01/12,atta,43
15/08/14,volaille,1
02/07/12,liver,80
13/04/12,barley,38
18/06/13,wheat,74
03/01/13,coffee,1632
08/06/14,gatorade,97
27/03/13,tea,1441
21/04/14,swine,16
01/01/13,colby,13
24/06/14,yogurt,150
21/05/14,rice,378
16/06/14,sheep,116
23/02/13,ethanol,5
18/01/12,tater,6
21/10/11,tenderloin,2
27/05/14,ethanol,6
23/12/13,butter,313
29/05/13,sardine,7
24/11/12,meals,127
28/08/13,cheddar,27
10/04/14,quark,7
13/02/13,poultry,10
20/08/12,chocolate,1893
23/11/13,poultry,5
04/06/13,oxen,4
14/02/12,farina,11
25/04/12,chese,1
17/11/13,lamb,95
22/07/13,pig,261
12/08/12,ham,510
22/05/12,soja,43
07/04/14,butter,366
29/11/12,wheat,65
16/11/13,poulet,63
01/03/12,prawn,10
17/09/14,pimento,4
25/07/14,soya,19
29/09/12,sardine,6
28/12/11,barley,28
16/03/12,sugarcane,1
31/03/14,feta,12
02/01/13,mozzarella,17
14/03/12,sugarcane,2
21/03/13,tea,1539
08/03/14,pig,247
06/11/12,roquefort,1
26/07/13,maize,5
21/03/13,prawn,17
19/06/14,lunch,1383
21/05/13,meat,338
03/05/13,coffee,1543
12/11/13,mozzarella,56
01/05/12,beef,490
25/05/12,pig,263
07/05/12,meal,575
10/07/14,scotch,49
03/12/12,noodles,228
30/09/12,catfish,7
06/08/13,ricotta,9
01/02/13,noodles,232
29/08/13,meat,245
08/02/14,kefir,1
07/09/14,oyster,41
22/09/14,pig,254
16/04/12,beef,430
12/04/13,herring,2
25/07/14,spud,13
10/02/12,tenderloin,1
14/03/14,ethanol,3
13/12/13,sirloin,2
01/01/12,atta,36
29/07/13,lunch,1496
30/04/12,flour,31
27/10/12,biofuel,1
06/12/12,prawn,243
09/06/12,meals,94
28/07/12,veal,5
21/01/13,kine,2
16/11/11,quark,2
21/10/12,eggnog,18
09/08/12,dairy,65
04/02/12,eggnog,2
01/05/13,scotch,29
16/10/12,yogurt,157
16/08/14,cow,169
06/09/13,barley,60
24/04/14,swine,26
10/12/13,ricotta,5
14/01/13,gluten,30
14/09/14,chocolate,1769
08/06/14,biofuel,3
22/03/14,meals,83
28/08/12,flour,17
15/10/11,dinner,769
11/07/14,coca,161
23/07/13,chese,3
11/10/11,poulet,6
13/04/12,ricotta,5
25/04/14,herring,5
20/08/13,oyster,31
21/02/14,steak,231
24/12/13,lunch,940
06/07/13,seafood,111
26/02/13,pork,212
10/09/14,veal,1
06/06/13,coffee,1538
18/02/14,milk,541
26/08/13,goat,290
03/12/12,tater,19
06/05/14,feta,11
16/02/13,volaille,1
17/04/14,romano,76
10/10/11,buttermilk,1
13/05/13,meat,275
19/06/13,cheshire,44
22/08/13,liver,95
08/05/12,oxen,3
12/09/12,syrup,78
25/09/12,scotch,38
17/11/11,fish,447
08/08/14,scotch,36
26/03/14,salami,9
20/10/13,kine,10
06/07/14,cheshire,48
09/06/13,lamb,64
14/06/14,rice,377
07/08/14,whisky,114
10/02/14,foods,385
22/07/12,meal,486
09/09/13,goat,148
02/08/12,farina,15
23/09/13,liver,92
08/02/14,cheshire,69
01/09/14,foods,294
10/03/12,sugar,375
24/08/13,buttermilk,9
05/12/12,chese,2
07/05/14,pasta,326
23/11/12,meal,679
23/09/13,ham,321
21/04/13,catfish,51
14/12/13,sugar,462
22/06/12,herring,8
16/02/12,pastrami,6
14/02/13,noodles,144
24/06/14,oyster,73
31/05/14,syrup,50
30/09/14,pork,141
30/07/12,swine,32
18/06/12,tater,5
01/04/14,beef,394
25/12/13,chocolate,2409
19/04/12,buttermilk,10
26/10/13,barley,33
25/10/13,herring,7
04/10/13,provolone,2
10/10/13,noodles,174
17/06/13,feta,17
11/02/12,butter,237
14/12/12,pastrami,1
25/03/12,poulet,13
26/05/13,oat,5
17/12/12,dinner,2046
30/09/11,soja,23
12/06/14,brisket,5
18/11/12,tenderloin,1
03/05/14,atta,55
02/10/13,soja,65
27/03/12,gatorade,76
24/10/12,milk,632
17/10/13,atta,63
18/10/12,food,4738
29/04/13,goat,99
01/12/12,yogurt,128
15/12/13,poulet,56
17/08/14,cola,418
15/02/13,spud,13
15/03/12,swine,16
15/02/12,potato,179
12/02/12,bacon,534
25/09/14,milk,540
06/12/13,cow,202
16/04/14,beef,465
24/08/13,fish,713
20/04/13,dairy,20
24/03/12,buttermilk,5
28/06/14,butter,287
31/05/13,ethanol,1
18/03/12,sugarcane,1
21/03/13,spud,17
03/08/12,soja,28
30/01/12,cheddar,42
22/03/14,oyster,32
14/10/13,pork,214
07/08/12,atta,61
17/11/11,nestle,16
21/02/14,barley,47
07/09/14,gatorade,82
12/01/13,cheshire,34
13/06/14,ravioli,16
07/07/14,sirloin,2
18/10/11,catfish,1
30/08/12,mozzarella,13
22/11/12,nestle,15
03/03/14,coffee,1558
05/04/12,soybeans,1
25/07/13,salami,62
13/02/14,chocolate,3822
05/07/13,gluten,41
18/06/13,fish,1005
14/08/13,lunch,2631
22/03/14,sardine,6
27/03/14,ricotta,13
25/10/13,gluten,47
19/03/12,kefir,1
22/02/12,goat,93
18/03/13,colby,25
29/04/12,ethanol,3
18/12/12,bread,615
26/05/12,provolone,1
29/07/13,salami,28
21/10/13,boeuf,4
27/05/14,brisket,20
28/09/13,ethanol,2
21/11/11,bread,396
31/07/13,brisket,7
15/12/13,gluten,34
01/07/14,seafood,81
22/08/12,meat,312
14/10/12,coffee,1491
09/08/14,cola,626
26/12/13,pig,237
19/04/13,edam,7
14/08/14,sugarcane,2
05/09/12,butter,354
11/12/13,sardine,7
02/06/12,sugar,437
15/08/12,soja,48
07/11/13,foods,385
31/07/12,breakfast,1455
27/12/11,spud,4
04/11/12,poultry,4
28/07/13,salt,319
12/04/13,prawn,1
07/02/12,goat,90
14/05/14,cola,583
04/03/14,salt,266
02/02/13,lamb,85
11/07/12,brisket,5
17/09/13,yogurt,164
26/01/12,pork,200
09/07/12,yogurt,160
22/10/11,ricotta,1
27/05/12,ravioli,12
29/05/14,syrup,86
19/11/12,yogurt,165
10/06/13,provolone,1
19/10/12,biofuel,4
14/04/14,butter,383
14/12/13,dinner,1685
09/03/14,pork,128
27/12/12,rib,22
02/09/13,maize,6
13/12/13,gluten,43
12/08/12,liver,127
18/11/11,whisky,84
14/01/12,bacon,480
30/04/14,whisky,133
14/06/14,soybeans,2
01/07/12,spud,11
13/06/13,herring,4
27/12/13,cream,1215
23/08/13,prawn,24
01/09/14,lamb,132
17/03/13,soya,11
27/07/14,egg,230
24/04/13,herring,1
07/08/14,yogurt,192
08/05/14,cheddar,31
19/06/14,salmon,96
21/01/13,coffee,390
22/06/12,syrup,78
04/09/13,butter,457
27/01/13,ricotta,2
30/03/13,volaille,2
06/09/13,scotch,28
06/10/12,ethanol,5
20/03/14,kine,11
20/06/13,oat,6
23/12/12,edam,1
15/10/13,parmesan,14
02/05/13,wheat,78
08/01/13,gatorade,182
12/11/11,sardine,2
02/06/14,seafood,88
05/11/13,salami,30
09/07/14,kefir,4
12/09/13,oyster,32
02/04/14,pasta,281
15/11/13,syrup,79
29/02/12,atta,53
01/04/14,soja,45
04/05/14,lamb,96
05/04/12,atta,71
18/03/14,spud,8
05/03/14,noodles,138
17/06/14,salt,362
06/09/12,cheddar,47
13/08/14,romano,37
09/09/12,catfish,21
29/12/11,salt,182
11/07/12,prawn,14
10/11/13,chicken,1292
03/01/12,noodles,204
06/07/13,food,6762
04/01/12,food,3074
24/10/11,chocolate,1317
22/12/12,veal,4
22/03/14,pastrami,3
28/08/14,pork,136
26/01/13,catfish,193
04/11/13,potato,260
01/10/13,kidney,58
19/09/14,breakfast,1036
26/11/12,pimento,1
15/09/12,pasta,299
04/03/12,rib,62
13/03/12,coca,234
29/05/12,cream,1627
28/07/14,breakfast,1048
07/06/14,chicken,1019
19/01/13,cattle,2
20/02/13,liver,67
16/08/12,kidney,86
09/05/12,gluten,45
06/07/14,soybeans,1
15/10/13,coca,303
03/08/13,lamb,69
02/07/12,cream,1531
04/06/14,ricotta,6
26/05/13,flour,25
21/07/13,noodles,121
25/03/12,kidney,31
17/06/13,quark,1
07/11/13,biofuel,4
29/08/13,roquefort,2
22/02/14,whisky,78
05/02/14,barley,2
26/07/12,tenderloin,1
03/08/14,tenderloin,1
26/03/12,dinner,1796
29/03/13,foods,254
02/09/13,flour,19
05/06/13,breakfast,1446
08/08/13,roquefort,4
14/11/11,oat,2
22/12/13,roquefort,1
02/09/13,colby,16
06/06/14,tea,1065
12/03/13,seafood,90
22/10/13,sugar,506
18/07/12,feta,15
28/07/13,potato,313
29/05/14,meal,413
16/08/12,fish,1004
13/12/13,ethanol,2
25/11/11,fish,427
23/03/12,chese,1
31/01/13,rib,41
02/03/14,foods,421
02/12/13,pasta,281
07/03/13,tater,23
25/07/14,cheshire,40
15/05/14,roquefort,5
01/04/14,sheep,121
11/02/13,herring,17
25/08/13,spud,7
08/07/14,roquefort,4
26/09/14,maize,3
08/02/12,rice,326
20/01/12,colby,9
02/06/14,sardine,4
01/06/14,lunch,1002
02/08/13,meal,516
12/05/13,breakfast,2222
07/04/14,buttermilk,4
03/12/12,meal,466
15/08/12,oyster,37
23/09/12,farina,9
17/01/13,ethanol,9
11/07/13,ravioli,22
13/07/12,dinner,2056
08/06/14,soya,17
19/08/12,catfish,14
01/04/12,feta,7
10/05/13,soya,13
21/07/12,seafood,118
06/02/14,volaille,1
14/08/13,mozzarella,31
16/05/14,buttermilk,13
22/04/13,buttermilk,6
26/10/12,feta,8
13/12/12,sheep,183
20/06/14,kine,15
18/05/12,buttermilk,7
09/03/13,soja,54
09/09/13,dinner,2180
26/11/12,eggnog,51
20/11/12,salt,224
